operator,term,index,raftTime,prevApplyTime,valueSize
InsertRowNode,1,1,1685156483343,1685156483360,100
InsertRowNode,1,3,1685156483554,1685156483566,100
InsertRowNode,1,5,1685156483628,1685156483640,100
InsertRowNode,1,7,1685156484252,1685156484270,100
InsertRowNode,1,9,1685156484344,1685156484354,100
InsertRowNode,1,11,1685156484519,1685156484532,100
InsertRowNode,1,12,1685156484519,1685156484536,100
InsertRowNode,1,15,1685156484636,1685156484644,100
InsertRowNode,1,17,1685156484735,1685156484743,100
InsertRowNode,1,19,1685156484808,1685156484816,100
InsertRowNode,1,21,1685156484910,1685156484918,100
InsertRowNode,1,23,1685156484999,1685156485007,100
InsertRowNode,1,25,1685156485030,1685156485089,100
InsertRowNode,1,27,1685156485205,1685156485215,100
InsertRowNode,1,29,1685156485313,1685156485324,100
InsertRowNode,1,31,1685156485428,1685156485436,100
InsertRowNode,1,33,1685156485515,1685156485524,100
InsertRowNode,1,34,1685156485516,1685156485528,100
InsertRowNode,1,37,1685156485726,1685156485735,100
InsertRowNode,1,39,1685156485901,1685156485909,100
InsertRowNode,1,41,1685156485926,1685156485934,100
InsertRowNode,1,43,1685156486038,1685156486047,100
InsertRowNode,1,45,1685156486120,1685156486128,100
InsertRowNode,1,47,1685156486212,1685156486219,100
InsertRowNode,1,49,1685156486333,1685156486339,100
InsertRowNode,1,51,1685156486412,1685156486419,100
InsertRowNode,1,53,1685156486435,1685156486441,100
InsertRowNode,1,55,1685156486452,1685156486457,100
InsertRowNode,1,57,1685156486518,1685156486525,100
InsertRowNode,1,59,1685156486537,1685156486549,100
InsertRowNode,1,61,1685156486553,1685156486559,100
InsertRowNode,1,63,1685156486608,1685156486614,100
InsertRowNode,1,65,1685156486693,1685156486701,100
InsertRowNode,1,67,1685156486711,1685156486718,100
InsertRowNode,1,69,1685156486892,1685156486900,100
InsertRowNode,1,71,1685156486904,1685156486910,100
InsertRowNode,1,73,1685156486916,1685156486922,100
InsertRowNode,1,75,1685156486995,1685156487003,100
InsertRowNode,1,77,1685156487064,1685156487071,100
InsertRowNode,1,79,1685156487092,1685156487099,100
InsertRowNode,1,81,1685156487108,1685156487114,100
InsertRowNode,1,83,1685156487129,1685156487135,100
InsertRowNode,1,85,1685156487160,1685156487166,100
InsertRowNode,1,87,1685156487215,1685156487221,100
InsertRowNode,1,89,1685156487252,1685156487258,100
InsertRowNode,1,91,1685156487269,1685156487273,100
InsertRowNode,1,93,1685156487431,1685156487437,100
InsertRowNode,1,95,1685156487454,1685156487459,100
InsertRowNode,1,97,1685156487467,1685156487471,100
InsertRowNode,1,99,1685156487480,1685156487486,100
InsertRowNode,1,101,1685156487498,1685156487503,100
InsertRowNode,1,103,1685156487534,1685156487541,100
InsertRowNode,1,105,1685156487550,1685156487555,100
InsertRowNode,1,107,1685156487557,1685156487561,100
InsertRowNode,1,109,1685156487569,1685156487573,100
InsertRowNode,1,111,1685156487585,1685156487597,100
